"id";"nome";"sigla"
2304;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO;PPGCC
2305;Programa de Pós-Graduação Doutorado em Ciência da Computação - Associação UFMA-UFPI;DCCMAPI
